Date,Shift,Milk Type,Kgs,Ltrs,Fat,SNF,Center Code
03-01-2021,AM,CM,2.04,,4.2,8.2,933
03-04-2021,AM,CM,1.55,,4.2,8.3,933
03-05-2021,AM,CM,1.46,,4.2,8.2,933
03-01-2021,PM,CM,272.43,,4.2,8.4,102
03-02-2021,PM,CM,269.42,,4.3,8.4,102
03-03-2021,PM,CM,281.75,,4.5,8.3,102
03-04-2021,PM,CM,292.91,,4.5,8.4,102
03-05-2021,PM,CM,267.86,,4.4,8.3,102
03-06-2021,PM,CM,261.55,,4.5,8.4,102
03-01-2021,PM,CM,185.83,,4.4,8.4,105
03-02-2021,PM,CM,220.49,,4.3,8.6,105
03-03-2021,PM,CM,223.11,,4.3,8.6,105
03-04-2021,PM,CM,225.83,,4.4,8.4,105
03-05-2021,PM,CM,243.01,,4.3,8.3,105
03-06-2021,PM,CM,239.51,,4.3,8.6,105
03-05-2021,PM,CM,37.96,,4.1,8.1,303
03-01-2021,PM,CM,15.15,,4,8,306
03-01-2021,PM,CM,13.59,,4,8.4,307
03-02-2021,PM,CM,19.61,,4.1,8.1,307
03-03-2021,PM,CM,20.39,,4.2,8.4,307
03-04-2021,PM,CM,15.63,,4.1,8.1,307
03-01-2021,PM,CM,31.94,,4.2,8.4,308
03-02-2021,PM,CM,29.13,,4.2,8.4,308
03-03-2021,PM,CM,26.31,,4,8,308
03-04-2021,PM,CM,30.1,,4.2,8.2,308
03-01-2021,PM,CM,15.83,,4,8.4,315
03-02-2021,PM,CM,16.5,,4.3,8.4,315
03-06-2021,PM,CM,13.88,,4,8.1,315
03-03-2021,PM,CM,14.66,,4.2,8.3,315
03-04-2021,PM,CM,15.24,,4,8.3,315
03-05-2021,PM,CM,18.06,,3.9,8.2,315
03-01-2021,PM,CM,37.86,,3.9,8.3,316
03-02-2021,PM,CM,40.1,,4.1,8.2,316
03-05-2021,PM,CM,37.86,,4,8.2,316
03-06-2021,PM,CM,37.09,,4.1,8.2,316
03-03-2021,PM,CM,35.92,,3.8,8,316
03-04-2021,PM,CM,36.99,,4.2,8.2,316
03-04-2021,PM,CM,4.17,,4.1,8.2,322
03-05-2021,PM,CM,3.98,,4,8,322
03-06-2021,PM,CM,9.71,,4,8.2,322
03-05-2021,PM,CM,46.8,,4.2,8.4,325
03-06-2021,PM,CM,90.68,,4.4,8.2,325
03-01-2021,PM,CM,6.89,,4,8.1,701
03-02-2021,PM,CM,5.44,,4.1,8.1,701
03-03-2021,PM,CM,4.47,,3.8,8.2,701
03-04-2021,PM,CM,4.17,,3.7,7.9,701
03-05-2021,PM,CM,4.27,,4,8.1,701
03-06-2021,PM,CM,2.72,,3.8,8.2,701
03-01-2021,PM,CM,52.23,,4,8,702
03-02-2021,PM,CM,48.83,,3.7,7.6,702
03-04-2021,PM,CM,44.08,,4.1,8,702
03-05-2021,PM,CM,58.25,,3.3,7.5,702
03-06-2021,PM,CM,46.6,,3.6,7.6,702
03-01-2021,PM,CM,29.22,,4,8.2,705
03-02-2021,PM,CM,29.03,,4.1,8.2,705
03-03-2021,PM,CM,22.82,,4,8.1,705
03-04-2021,PM,CM,14.76,,4.1,8.2,705
03-05-2021,PM,CM,17.28,,4.1,8.2,705
03-06-2021,PM,CM,20.39,,4,8,705
03-01-2021,PM,CM,10,,4.2,8.2,706
03-02-2021,PM,CM,10.19,,4.2,8.3,706
03-05-2021,PM,CM,12.04,,4.1,8.2,706
03-06-2021,PM,CM,10.49,,4,8.2,706
03-03-2021,PM,CM,9.81,,4.2,8.3,706
03-04-2021,PM,CM,10.39,,4,8,706
03-01-2021,PM,CM,51.84,,4.1,8,708
03-02-2021,PM,CM,54.56,,4,8,708
03-03-2021,PM,CM,54.56,,4.2,8.2,708
03-04-2021,PM,CM,54.27,,4.2,8.2,708
03-05-2021,PM,CM,47.77,,4,8,708
03-06-2021,PM,CM,39.42,,4,8,708
03-01-2021,PM,CM,25.53,,4.1,8.1,714
03-02-2021,PM,CM,20.19,,4.1,8.1,714
03-03-2021,PM,CM,25.92,,4,8.2,714
03-04-2021,PM,CM,26.41,,4.1,8.1,714
03-05-2021,PM,CM,25.34,,4.1,8.1,714
03-06-2021,PM,CM,31.65,,4.2,8.3,714
03-01-2021,PM,CM,17.28,,4.3,8.3,715
03-02-2021,PM,CM,20,,4.2,8.2,715
03-03-2021,PM,CM,18.93,,4.2,8.2,715
03-04-2021,PM,CM,20.78,,4.2,8.4,715
03-05-2021,PM,CM,23.3,,4.2,8.4,715
03-06-2021,PM,CM,14.56,,4.2,8.5,715
03-01-2021,PM,CM,36.31,,4.1,8.3,716
03-02-2021,PM,CM,45.34,,4.1,8.2,716
03-03-2021,PM,CM,34.47,,4.2,8.3,716
03-04-2021,PM,CM,37.67,,4.2,8.3,716
03-05-2021,PM,CM,40.97,,4.2,8.3,716
03-06-2021,PM,CM,41.75,,4.2,8.2,716
03-01-2021,PM,CM,22.62,,4,8,719
03-02-2021,PM,CM,25.24,,4.2,8.3,719
03-03-2021,PM,CM,24.95,,4.1,8.1,719
03-04-2021,PM,CM,27.38,,4,8,719
03-05-2021,PM,CM,20.78,,4.2,8.2,719
03-06-2021,PM,CM,19.42,,3.8,8,719
03-01-2021,PM,CM,9.32,,4,8.1,721
03-02-2021,PM,CM,11.75,,4.1,8.2,721
03-03-2021,PM,CM,10.49,,4,8.2,721
03-04-2021,PM,CM,9.03,,4.2,8.1,721
03-05-2021,PM,CM,19.9,,4.1,8.1,721
03-06-2021,PM,CM,13.5,,3.6,8,721
03-01-2021,PM,CM,7.77,,4.1,8.1,722
03-02-2021,PM,CM,1.55,,4,8,722
03-03-2021,PM,CM,7.77,,4.1,8.2,722
03-04-2021,PM,CM,6.8,,4.1,8.1,722
03-05-2021,PM,CM,8.25,,4.1,8.2,722
03-06-2021,PM,CM,6.02,,4.1,8.1,722
03-01-2021,PM,CM,12.52,,3.9,8.2,723
03-02-2021,PM,CM,11.46,,4,8.2,723
03-03-2021,PM,CM,11.84,,4,8.1,723
03-04-2021,PM,CM,12.62,,4,8.1,723
03-05-2021,PM,CM,12.91,,4.1,8,723
03-06-2021,PM,CM,12.14,,4.1,8.2,723
03-01-2021,PM,CM,9.42,,3.9,8.2,724
03-02-2021,PM,CM,8.93,,4,8,724
03-03-2021,PM,CM,9.61,,3.8,8.2,724
03-04-2021,PM,CM,10.1,,4,8,724
03-05-2021,PM,CM,9.71,,4.1,8.1,724
03-06-2021,PM,CM,9.03,,3.7,8,724
